So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH
03000184,7.20,7.25,6.40,,,,,5.00,7.00,7.25,6.42
03000185,6.80,7.50,6.20,,,,,3.00,5.75,8.50,5.75
03000186,6.40,6.50,4.60,,,,,4.75,6.00,8.00,6.25
03000187,3.20,2.75,,,,,,2.75,4.25,,
03000188,8.60,6.00,8.80,7.00,5.75,4.50,5.75,,,,
03000189,7.60,6.25,4.40,4.50,5.75,5.75,5.33,,,,
03000190,6.40,6.00,,,,,,5.50,7.50,,
03000191,4.60,3.25,,,,,,3.50,6.25,,
03000192,9.00,5.75,9.00,8.25,5.75,5.50,6.50,,,,
03000193,5.20,5.50,,,,,,2.25,5.75,,
03000194,3.80,5.00,,,,,,2.75,5.25,,
03000195,8.60,5.75,4.00,8.00,8.25,2.50,6.25,,,,
03000196,9.20,5.75,8.20,9.00,8.25,3.75,7.00,,,,
03000197,8.00,7.00,6.20,7.00,6.75,5.25,6.33,,,,
03000198,8.00,6.50,7.20,7.00,3.50,6.00,5.50,,,,
03000199,6.00,4.00,,,,,,3.75,5.00,,
03000200,5.40,5.50,4.40,,,,,3.50,5.75,6.75,5.33
03000201,5.60,2.75,2.80,,,,,4.25,5.75,6.75,5.58
03000202,4.80,6.00,5.80,,,,,5.75,7.00,8.50,7.08
03000203,8.20,5.50,3.60,6.75,6.00,3.25,5.33,,,,
03000204,8.00,6.00,6.80,5.50,5.50,3.75,4.92,,,,
03000205,8.20,5.75,4.40,8.00,8.00,4.50,6.83,,,,
03000206,6.20,6.25,5.60,,,,,4.75,5.75,7.75,6.08
03000207,5.80,3.75,,,,,,2.25,5.25,,
03000208,8.40,6.75,8.40,4.50,6.25,4.00,4.92,,,,
03000209,2.40,3.00,,,,,,2.25,5.00,,
03000210,6.80,6.50,3.20,3.50,4.50,5.00,4.33,,,,
03000211,7.80,6.50,5.60,,,,,5.00,5.00,8.75,6.25
03000212,4.80,5.00,,,,,,3.25,7.25,,
03000213,7.40,6.75,2.60,,,,,5.75,6.25,8.25,6.75
03000214,7.60,7.25,4.20,,,,,4.25,7.00,9.50,6.92
03000215,6.20,6.75,7.20,5.25,4.50,5.75,5.17,,,,
03000216,5.20,5.50,,,,,,2.50,6.50,,
03000217,7.80,4.75,2.60,,,,,5.50,8.00,8.00,7.17
03000218,4.80,4.50,,,,,,1.25,4.25,,
03000219,6.40,5.25,,,,,,4.25,7.00,,
03000220,4.80,3.75,3.00,,,,,2.50,7.00,7.25,5.58
03000221,7.80,4.50,,,,,,4.75,5.25,,
03000222,7.40,7.25,6.20,7.00,4.25,4.50,5.25,,,,
03000223,6.00,5.00,,,,,,2.25,5.00,,
03000224,8.40,7.25,7.00,7.25,7.00,5.25,6.50,,,,
03000225,5.60,7.50,3.80,,,,,2.25,7.25,8.00,5.83
03000226,5.20,6.25,7.60,,,,,7.00,6.50,8.75,7.42
03000227,7.40,6.25,3.60,,,,,4.25,5.00,7.75,5.67
03000228,5.00,5.75,,,,,,2.50,5.25,,
03000229,8.80,5.00,5.00,7.25,4.25,4.75,5.42,,,,
03000230,5.80,6.00,2.20,,,,,3.75,6.00,8.50,6.08
03000231,6.80,,,8.00,5.75,,,,,,
03000232,8.20,6.50,7.00,7.25,6.00,4.00,5.75,,,,
03000233,4.40,4.50,,,,,,4.00,6.75,,
03000234,6.00,5.75,2.80,2.75,5.50,3.75,4.00,,,,
